Pregunta,Respuesta Correcta
1,A
2,D
3,A
4,B
5,A
6,C
7,B
8,A
9,A
10,D
11,B
12,C
13,A
14,A
15,B
16,B
17,D
18,D
19,A
20,B
21,D
22,B
23,B
24,C
25,D
26,C
27,A
28,B
29,A
30,C
31,A
32,D
33,D
34,A
35,D
36,D
37,B
38,B
39,A
40,D
41,A
42,B
43,A
44,D
45,C
46,D
47,C
48,D
49,B
50,A
51,A
52,D
53,C
54,D
55,D
56,D
57,B
58,D
59,A
60,A
61,B
62,C
63,B
64,A
65,C
66,D
67,A
68,C
69,B
70,D
71,D
72,C
73,B
74,C
75,C
76,D
77,D
78,C
79,B
80,A
81,B
82,D
83,A
84,C
85,C
86,D
87,B
88,B
89,B
90,C
91,B
92,B
93,B
94,D
95,B
96,C
97,B
98,D
99,C
100,A
101,C
102,B
103,D
104,D
105,C
106,A
107,D
108,A
109,B
110,D
111,B
112,C
113,C
114,C
115,B
116,C
117,D
118,B
119,A
120,B
