numero,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta
1,A,B,C,D,A
2,A,B,C,D,D
3,A,B,C,D,A
4,A,B,C,D,B
5,A,B,C,D,A
6,A,B,C,D,C
7,A,B,C,D,B
8,A,B,C,D,A
9,A,B,C,D,A
10,A,B,C,D,D
11,A,B,C,D,B
12,A,B,C,D,C
13,A,B,C,D,A
14,A,B,C,D,A
15,A,B,C,D,B
16,A,B,C,D,B
17,A,B,C,D,D
18,A,B,C,D,D
19,A,B,C,D,A
20,A,B,C,D,B
21,A,B,C,D,D
22,A,B,C,D,B
23,A,B,C,D,B
24,A,B,C,D,C
25,A,B,C,D,D
26,A,B,C,D,C
27,A,B,C,D,A
28,A,B,C,D,B
29,A,B,C,D,A
30,A,B,C,D,C
31,A,B,C,D,A
32,A,B,C,D,D
33,A,B,C,D,D
34,A,B,C,D,A
35,A,B,C,D,D
36,A,B,C,D,D
37,A,B,C,D,B
38,A,B,C,D,B
39,A,B,C,D,A
40,A,B,C,D,D
41,A,B,C,D,A
42,A,B,C,D,B
43,A,B,C,D,A
44,A,B,C,D,D
45,A,B,C,D,C
46,A,B,C,D,D
47,A,B,C,D,C
48,A,B,C,D,D
49,A,B,C,D,B
50,A,B,C,D,A
51,A,B,C,D,A
52,A,B,C,D,D
53,A,B,C,D,C
54,A,B,C,D,D
55,A,B,C,D,D
56,A,B,C,D,D
57,A,B,C,D,B
58,A,B,C,D,D
59,A,B,C,D,A
60,A,B,C,D,A
61,A,B,C,D,B
62,A,B,C,D,C
63,A,B,C,D,B
64,A,B,C,D,A
65,A,B,C,D,C
66,A,B,C,D,D
67,A,B,C,D,A
68,A,B,C,D,C
69,A,B,C,D,B
70,A,B,C,D,D
71,A,B,C,D,D
72,A,B,C,D,C
73,A,B,C,D,B
74,A,B,C,D,C
75,A,B,C,D,C
76,A,B,C,D,D
77,A,B,C,D,D
78,A,B,C,D,C
79,A,B,C,D,B
80,A,B,C,D,A
81,A,B,C,D,B
82,A,B,C,D,D
83,A,B,C,D,A
84,A,B,C,D,C
85,A,B,C,D,C
86,A,B,C,D,D
87,A,B,C,D,B
88,A,B,C,D,B
89,A,B,C,D,B
90,A,B,C,D,C
91,A,B,C,D,B
92,A,B,C,D,B
93,A,B,C,D,B
94,A,B,C,D,D
95,A,B,C,D,B
96,A,B,C,D,C
97,A,B,C,D,B
98,A,B,C,D,D
99,A,B,C,D,C
100,A,B,C,D,A
101,A,B,C,D,C
102,A,B,C,D,B
103,A,B,C,D,D
104,A,B,C,D,D
105,A,B,C,D,C
106,A,B,C,D,A
107,A,B,C,D,D
108,A,B,C,D,A
109,A,B,C,D,B
110,A,B,C,D,D
111,A,B,C,D,B
112,A,B,C,D,C
113,A,B,C,D,C
114,A,B,C,D,C
115,A,B,C,D,B
116,A,B,C,D,C
117,A,B,C,D,D
118,A,B,C,D,B
119,A,B,C,D,A
120,A,B,C,D,B
