Pregunta,Num_Errores,Total_Alumnos,Porcentaje_Error
6,27,27,100.0
9,27,27,100.0
41,27,27,100.0
69,27,27,100.0
67,27,27,100.0
70,27,27,100.0
91,27,27,100.0
94,27,27,100.0
107,27,27,100.0
36,26,27,96.3
28,26,27,96.3
12,26,27,96.3
18,26,27,96.3
13,26,27,96.3
50,26,27,96.3
64,26,27,96.3
68,26,27,96.3
72,26,27,96.3
98,26,27,96.3
101,26,27,96.3
89,26,27,96.3
93,26,27,96.3
39,26,27,96.3
43,26,27,96.3
31,25,27,92.59
38,25,27,92.59
96,25,27,92.59
73,25,27,92.59
71,25,27,92.59
79,25,27,92.59
57,25,27,92.59
65,25,27,92.59
16,25,27,92.59
95,25,27,92.59
5,25,27,92.59
27,25,27,92.59
2,25,27,92.59
1,25,27,92.59
90,25,27,92.59
86,25,27,92.59
103,24,27,88.89
22,24,27,88.89
23,24,27,88.89
42,24,27,88.89
84,24,27,88.89
63,24,27,88.89
78,24,27,88.89
54,24,27,88.89
110,24,27,88.89
30,23,27,85.19
33,23,27,85.19
88,23,27,85.19
21,23,27,85.19
46,22,27,81.48
80,22,27,81.48
62,22,27,81.48
60,22,27,81.48
48,22,27,81.48
37,22,27,81.48
32,22,27,81.48
53,22,27,81.48
49,22,27,81.48
61,21,27,77.78
81,21,27,77.78
14,21,27,77.78
4,21,27,77.78
75,21,27,77.78
58,21,27,77.78
106,21,27,77.78
20,20,27,74.07
99,20,27,74.07
105,20,27,74.07
7,19,27,70.37
34,19,27,70.37
26,18,27,66.67
97,18,27,66.67
47,17,27,62.96
44,17,27,62.96
109,17,27,62.96
51,17,27,62.96
74,17,27,62.96
59,16,27,59.26
76,16,27,59.26
77,16,27,59.26
100,15,27,55.56
55,15,27,55.56
25,15,27,55.56
108,15,27,55.56
40,15,27,55.56
29,14,27,51.85
82,14,27,51.85
104,13,27,48.15
83,13,27,48.15
19,12,27,44.44
102,11,27,40.74
10,9,27,33.33
52,8,27,29.63
56,8,27,29.63
15,8,27,29.63
8,8,27,29.63
3,7,27,25.93
35,7,27,25.93
87,7,27,25.93
85,6,27,22.22
45,5,27,18.52
17,4,27,14.81
66,4,27,14.81
24,3,27,11.11
92,3,27,11.11
11,1,27,3.7
